"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "CSS", "XML", "SCSS", "comment", "blank", "total"
"/Users/thomascantwell/pixel-vee/LICENSE.md", "Markdown", 0, 0, 0, 544, 0, 0, 0, 0, 118, 662
"/Users/thomascantwell/pixel-vee/README.md", "Markdown", 0, 0, 0, 316, 0, 0, 0, 0, 26, 342
"/Users/thomascantwell/pixel-vee/css/style.css", "CSS", 0, 0, 0, 0, 1583, 0, 0, 65, 55, 1703
"/Users/thomascantwell/pixel-vee/index.html", "HTML", 0, 0, 679, 0, 0, 0, 0, 25, 3, 707
"/Users/thomascantwell/pixel-vee/index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/thomascantwell/pixel-vee/package-lock.json", "JSON", 0, 3325, 0, 0, 0, 0, 0, 0, 1, 3326
"/Users/thomascantwell/pixel-vee/package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/thomascantwell/pixel-vee/public/pixelv-addlayer.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-brush.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-clear.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/thomascantwell/pixel-vee/public/pixelv-color-mask.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-cubic-curve.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-ellipse.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-eraser.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-eyeclosed.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/thomascantwell/pixel-vee/public/pixelv-eyedropper.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-eyeopen.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-fill.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/thomascantwell/pixel-vee/public/pixelv-grab.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-inject.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-line.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-mechanical-pencil.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-minus.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-move.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-palette-knife.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-palette-scraper.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-plus.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-quadratic-curve.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-recenter.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/thomascantwell/pixel-vee/public/pixelv-redo.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/thomascantwell/pixel-vee/public/pixelv-reference.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-swatches.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/Users/thomascantwell/pixel-vee/public/pixelv-switch.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/thomascantwell/pixel-vee/public/pixelv-trash.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/thomascantwell/pixel-vee/public/pixelv-undo.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/thomascantwell/pixel-vee/scss/base/_base-styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 96, 45, 13, 154
"/Users/thomascantwell/pixel-vee/scss/base/_icons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 281, 21, 58, 360
"/Users/thomascantwell/pixel-vee/scss/base/_keyframes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 3, 2, 24
"/Users/thomascantwell/pixel-vee/scss/base/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 180, 12, 19, 211
"/Users/thomascantwell/pixel-vee/scss/base/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 43, 5, 5, 53
"/Users/thomascantwell/pixel-vee/scss/components/_brushes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 79, 2, 2, 83
