Date : 2023-12-08 14:24:52
Directory : /Users/thomascantwell/pixel-vee
Total : 118 files,  16720 codes, 2536 comments, 1051 blanks, all 20307 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/thomascantwell/pixel-vee/public/pixelv-quadratic-curve.svg    | XML        |          4 |          0 |          1 |          5 |
| /Users/thomascantwell/pixel-vee/public/pixelv-recenter.svg           | XML        |          6 |          0 |          1 |          7 |
| /Users/thomascantwell/pixel-vee/public/pixelv-redo.svg               | XML        |          6 |          0 |          1 |          7 |
| /Users/thomascantwell/pixel-vee/public/pixelv-reference.svg          | XML        |          7 |          0 |          1 |          8 |
| /Users/thomascantwell/pixel-vee/public/pixelv-swatches.svg           | XML        |          5 |          0 |          1 |          6 |
| /Users/thomascantwell/pixel-vee/public/pixelv-switch.svg             | XML        |          4 |          0 |          1 |          5 |
| /Users/thomascantwell/pixel-vee/public/pixelv-trash.svg              | XML        |          7 |          0 |          1 |          8 |
| /Users/thomascantwell/pixel-vee/public/pixelv-undo.svg               | XML        |          6 |          0 |          1 |          7 |
| /Users/thomascantwell/pixel-vee/scss/base/_base-styles.scss          | SCSS       |         96 |         45 |         13 |        154 |
| /Users/thomascantwell/pixel-vee/scss/base/_icons.scss                | SCSS       |        281 |         21 |         58 |        360 |
| /Users/thomascantwell/pixel-vee/scss/base/_keyframes.scss            | SCSS       |         19 |          3 |          2 |         24 |
| /Users/thomascantwell/pixel-vee/scss/base/_mixins.scss               | SCSS       |        180 |         12 |         19 |        211 |
| /Users/thomascantwell/pixel-vee/scss/base/_variables.scss            | SCSS       |         43 |          5 |          5 |         53 |
| /Users/thomascantwell/pixel-vee/scss/components/_brushes.scss        | SCSS       |         79 |          2 |          2 |         83 |
| /Users/thomascantwell/pixel-vee/scss/components/_canvas.scss         | SCSS       |         43 |          3 |          3 |         49 |
| /Users/thomascantwell/pixel-vee/scss/components/_color-picker.scss   | SCSS       |        239 |          1 |          3 |        243 |
| /Users/thomascantwell/pixel-vee/scss/components/_layers.scss         | SCSS       |         90 |          4 |          2 |         96 |
| /Users/thomascantwell/pixel-vee/scss/components/_palette.scss        | SCSS       |        158 |          2 |          2 |        162 |
| /Users/thomascantwell/pixel-vee/scss/components/_size.scss           | SCSS       |         38 |          1 |          2 |         41 |
| /Users/thomascantwell/pixel-vee/scss/components/_toolbox.scss        | SCSS       |        166 |         12 |         30 |        208 |
| /Users/thomascantwell/pixel-vee/scss/components/_vectors.scss        | SCSS       |        160 |          4 |          2 |        166 |
| /Users/thomascantwell/pixel-vee/scss/layout/_layout.scss             | SCSS       |        197 |          6 |         11 |        214 |
| /Users/thomascantwell/pixel-vee/scss/layout/_nav.scss                | SCSS       |         95 |          1 |          1 |         97 |
| /Users/thomascantwell/pixel-vee/scss/style.scss                      | SCSS       |         15 |          5 |          1 |         21 |
| /Users/thomascantwell/pixel-vee/src/Actions/actions.js               | JavaScript |        436 |        140 |         16 |        592 |
| /Users/thomascantwell/pixel-vee/src/Actions/modifyTimeline.js        | JavaScript |         84 |         41 |         11 |        136 |
| /Users/thomascantwell/pixel-vee/src/Actions/undoRedo.js              | JavaScript |        166 |         62 |         10 |        238 |
| /Users/thomascantwell/pixel-vee/src/Actions/untrackedActions.js      | JavaScript |         86 |         10 |          3 |         99 |
| /Users/thomascantwell/pixel-vee/src/Canvas/events.js                 | JavaScript |        446 |        137 |         35 |        618 |
| /Users/thomascantwell/pixel-vee/src/Canvas/layers.js                 | JavaScript |         74 |         12 |          4 |         90 |
| /Users/thomascantwell/pixel-vee/src/Canvas/masks.js                  | JavaScript |         47 |          8 |          4 |         59 |
| /Users/thomascantwell/pixel-vee/src/Canvas/render.js                 | JavaScript |        319 |        150 |         11 |        480 |
| /Users/thomascantwell/pixel-vee/src/Context/brushStamps.js           | JavaScript |          5 |          0 |          2 |          7 |
| /Users/thomascantwell/pixel-vee/src/Context/canvas.js                | JavaScript |         78 |         27 |          8 |        113 |
| /Users/thomascantwell/pixel-vee/src/Context/dom.js                   | JavaScript |        106 |         44 |         28 |        178 |
| /Users/thomascantwell/pixel-vee/src/Context/state.js                 | JavaScript |         99 |         29 |          6 |        134 |
| /Users/thomascantwell/pixel-vee/src/Context/swatch.js                | JavaScript |         20 |          6 |          4 |         30 |
